epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1
1,0.570812594725723,0.7059530968129886,0.5089581732290337,0.7734939759036145,0.7511111111111111,0.8164251207729468,0.7824074074074074
2,0.38664578938082766,0.8238123872519543,0.5030106719717922,0.7903614457831325,0.7542372881355932,0.8599033816425121,0.8036117381489842
3,0.31011819687150577,0.8761274804570054,0.5739087117005544,0.7734939759036145,0.728744939271255,0.8695652173913043,0.7929515418502202
4,0.19705855897927385,0.9266386049308478,0.6477732593036559,0.7421686746987952,0.7808988764044944,0.6714975845410628,0.7220779220779221
5,0.11842724228399888,0.9573060733613951,0.8038768743894187,0.763855421686747,0.7379912663755459,0.8164251207729468,0.7752293577981652
