epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1
1,0.0003,0.6106783026464006,0.6732851985559567,0.511459428530473,0.7475961538461539,0.751219512195122,0.7403846153846154,0.7457627118644068
2,0.0003,0.43378456824523015,0.796028880866426,0.4670603687946613,0.7788461538461539,0.7660550458715596,0.8028846153846154,0.784037558685446
3,0.0003,0.335706875983415,0.8604091456077015,0.48406222462654114,0.7764423076923077,0.7346938775510204,0.8653846153846154,0.7947019867549668
4,0.0003,0.25289009615474084,0.9019253910950662,0.5022177237730759,0.7788461538461539,0.7788461538461539,0.7788461538461539,0.7788461538461539
5,0.00015,0.15032259262784436,0.9482551143200962,0.5156232943901649,0.7716346153846154,0.7579908675799086,0.7980769230769231,0.7775175644028103
6,0.00015,0.11762214908387543,0.9614921780986763,0.5562544877712543,0.7668269230769231,0.7341772151898734,0.8365384615384616,0.7820224719101123
7,7.5e-05,0.09058621674596762,0.9729241877256317,0.5534839928150177,0.78125,0.7671232876712328,0.8076923076923077,0.7868852459016393
