epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1
1,0.5797035208534534,0.7045728038507821,0.4920251782123859,0.7692307692307693,0.7641509433962265,0.7788461538461539,0.7714285714285715
2,0.40874141949608866,0.8279181708784596,0.4564834374647874,0.7980769230769231,0.8009708737864077,0.7932692307692307,0.7971014492753623
3,0.31348300840880466,0.8694344163658243,0.4782600448681758,0.78125,0.7532467532467533,0.8365384615384616,0.7927107061503417
4,0.22131536554020664,0.9097472924187726,0.544508702479876,0.7788461538461539,0.7396694214876033,0.8605769230769231,0.7955555555555556
5,0.17134027213539602,0.937424789410349,0.5969140392083389,0.7644230769230769,0.72,0.8653846153846154,0.7860262008733624
