fold,best_epoch,train_accuracy,accuracy,precision,recall,f1,train_val_gap
fold_1,2,0.7731648616125151,0.7572115384615384,0.7661691542288557,0.7403846153846154,0.7530562347188264,0.01595332315097664
fold_2,3,0.8441636582430806,0.7740384615384616,0.7688679245283019,0.7836538461538461,0.7761904761904762,0.07012519670461903
fold_3,2,0.7683513838748496,0.7884615384615384,0.8191489361702128,0.7403846153846154,0.7777777777777778,-0.020110154586688855
fold_4,2,0.7799158147925436,0.8120481927710843,0.7954545454545454,0.8413461538461539,0.8177570093457944,-0.03213237797854074
fold_5,2,0.7817197835237523,0.7807228915662651,0.8258426966292135,0.7101449275362319,0.7636363636363637,0.0009968919574872004
