epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1
1,0.5971008052470379,0.6692723992784125,0.5347715399351465,0.7349397590361446,0.8951612903225806,0.5336538461538461,0.6686746987951807
2,0.39646803606939973,0.830426939266386,0.5915190136576274,0.7469879518072289,0.8872180451127819,0.5673076923076923,0.6920821114369502
3,0.30664294194687725,0.8791340950090198,0.5528224315269884,0.7662650602409639,0.8245614035087719,0.6778846153846154,0.7440633245382586
4,0.20145766476479482,0.9230306674684305,0.6481144018201943,0.7686746987951807,0.7947368421052632,0.7259615384615384,0.7587939698492462
5,0.12779873334234262,0.9585087191822008,0.8148507427020245,0.7397590361445783,0.6838235294117647,0.8942307692307693,0.775
6,0.08983184773557816,0.9675285628382442,0.8578538379037236,0.7518072289156627,0.7354260089686099,0.7884615384615384,0.7610208816705336
7,0.07091044511879004,0.9777510523150932,0.9984798013445843,0.7566265060240964,0.7688442211055276,0.7355769230769231,0.7518427518427518
8,0.04733349198740932,0.9831629585087192,0.9846508714089911,0.7710843373493976,0.8121546961325967,0.7067307692307693,0.7557840616966581
