epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1
1,0.0003,0.6139640330407594,0.6702767749699158,0.5358587709756998,0.7211538461538461,0.7555555555555555,0.6538461538461539,0.7010309278350515
2,0.0003,0.45661874343198416,0.7864019253910951,0.4956556386672534,0.7572115384615384,0.7316017316017316,0.8125,0.7699316628701595
3,0.0003,0.3353447875391275,0.8658243080625753,0.5112902716948435,0.7668269230769231,0.7557603686635944,0.7884615384615384,0.7717647058823529
4,0.0003,0.2594194324007964,0.8977135980746089,0.5404734680285821,0.7716346153846154,0.7927461139896373,0.7355769230769231,0.7630922693266833
5,0.00015,0.15726423069888504,0.9512635379061372,0.6123912712702384,0.7740384615384616,0.7714285714285715,0.7788461538461539,0.7751196172248804
6,0.00015,0.11602553558478716,0.9645006016847172,0.6406005712655874,0.7668269230769231,0.7402597402597403,0.8221153846153846,0.7790432801822323
7,7.5e-05,0.08962902030431263,0.9765342960288809,0.6422325028822973,0.78125,0.7772511848341233,0.7884615384615384,0.7828162291169452
8,7.5e-05,0.07806079912702099,0.9807460890493381,0.6579624368594243,0.7860576923076923,0.7989949748743719,0.7644230769230769,0.7813267813267813
9,3.75e-05,0.06625204948455131,0.9831528279181708,0.6778740023191159,0.7860576923076923,0.7989949748743719,0.7644230769230769,0.7813267813267813
10,3.75e-05,0.05529317400327443,0.9855595667870036,0.6947748832977735,0.7884615384615384,0.7970297029702971,0.7740384615384616,0.7853658536585366
11,1.875e-05,0.04903528080394696,0.98676293622142,0.6995339932350012,0.7740384615384616,0.7663551401869159,0.7884615384615384,0.7772511848341233
12,1.875e-05,0.047488855370617374,0.9885679903730445,0.7032631349105102,0.78125,0.7799043062200957,0.7836538461538461,0.7817745803357314
13,9.375e-06,0.04915869545312565,0.9879663056558363,0.7078540382476953,0.7836538461538461,0.797979797979798,0.7596153846153846,0.7783251231527094
14,9.375e-06,0.04864369244477235,0.9879663056558363,0.7097192452504084,0.7836538461538461,0.7892156862745098,0.7740384615384616,0.7815533980582524
