Model,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV F1 Mean,CV F1 Std,Final Test Accuracy,Final Test Precision,Final Test Recall,Final Test F1
BERT + ResNet50,0.778139,0.023581,0.743817,0.044611,0.857558,0.041708,0.794822,0.011483,0.703846,0.689286,0.742308,0.714815
BERT + ResNet50 V2,0.78345,0.00935,0.771701,0.032542,0.80943,0.038565,0.788879,0.004754,N/A,N/A,N/A,N/A
CLIP,0.785838,0.016016,0.7544,0.037716,0.853702,0.03781,0.799614,0.007039,0.686538,0.676364,0.715385,0.695327
ViLT,0.764189,0.02875,0.731342,0.047535,0.845085,0.036039,0.782383,0.015589,0.667308,0.662921,0.680769,0.671727
