fold,best_epoch,train_accuracy,accuracy,precision,recall,f1,train_val_gap
fold_1,2,0.8020457280385078,0.7884615384615384,0.7727272727272727,0.8173076923076923,0.794392523364486,0.013584189576969385
fold_2,2,0.809265944645006,0.7548076923076923,0.823170731707317,0.6490384615384616,0.7258064516129032,0.05445825233731372
fold_3,2,0.7918170878459687,0.7716346153846154,0.7652582159624414,0.7836538461538461,0.7743467933491687,0.020182472461353296
fold_4,3,0.8610944076969332,0.7975903614457831,0.7695652173913043,0.8509615384615384,0.8082191780821918,0.06350404625115014
fold_5,2,0.8057726999398677,0.7590361445783133,0.8282208588957055,0.6521739130434783,0.7297297297297297,0.04673655536155441
