epoch,development_loss,development_accuracy,val_loss,val_accuracy,val_f1
1,0.6167223971386392,0.6678700361010831,0.4985617147042201,0.7884615384615384,0.7914691943127962
2,0.47258442267327244,0.7942238267148014,0.46769789319771987,0.7908653846153846,0.7943262411347518
3,0.3907453781430902,0.8477737665463297,0.5696207009829007,0.75,0.7094972067039106
4,0.3283945395197679,0.8929001203369434,0.5468200720273532,0.7884615384615384,0.7788944723618091
5,0.2694143452440645,0.9211793020457281,0.5764770897535177,0.7884615384615384,0.78
6,0.21859265263186753,0.9542719614921781,0.61103683251601,0.8052884615384616,0.812933025404157
