epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1
1,0.0003,0.6481416981333505,0.6103427540589297,0.5462755074702114,0.7397590361445783,0.7894736842105263,0.6521739130434783,0.7142857142857143
2,0.0003,0.4562749795288618,0.7979555021046302,0.5301162920084345,0.7373493975903614,0.8266666666666667,0.5990338164251208,0.6946778711484594
3,0.0003,0.34047777422995573,0.8580877931449188,0.5102712876107319,0.7783132530120482,0.7625570776255708,0.8067632850241546,0.784037558685446
4,0.0003,0.24313169447184327,0.9001803968731209,0.615707655843482,0.7542168674698795,0.7196652719665272,0.8309178743961353,0.7713004484304933
5,0.0003,0.1670475891391986,0.9446782922429344,0.7067784130573272,0.7542168674698795,0.8106508875739645,0.6618357487922706,0.7287234042553191
6,0.00015,0.10708111613737985,0.968129885748647,0.6884238433407014,0.7759036144578313,0.7908163265306123,0.748792270531401,0.7692307692307693
7,0.00015,0.07481104359747556,0.9795550210463019,0.7756792006004287,0.7566265060240964,0.7944444444444444,0.6908212560386473,0.7390180878552972
