epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1
1,0.5965413451194763,0.6696750902527075,0.46971898583265453,0.7716346153846154,0.7868020304568528,0.7451923076923077,0.7654320987654321
2,0.41680047855623936,0.8273164861612515,0.4641419374025785,0.7764423076923077,0.8402366863905325,0.6826923076923077,0.753315649867374
3,0.30826300289369807,0.8742478941034898,0.5318686022208288,0.7668269230769231,0.8627450980392157,0.6346153846153846,0.7313019390581718
4,0.22353946993174537,0.9121540312876053,0.6520122381357046,0.7716346153846154,0.7181467181467182,0.8942307692307693,0.7965738758029979
5,0.16066421643706436,0.9404332129963899,0.7380462197157053,0.7403846153846154,0.6937984496124031,0.8605769230769231,0.7682403433476395
6,0.10294164428498627,0.9620938628158845,0.7474758602105654,0.7572115384615384,0.7661691542288557,0.7403846153846154,0.7530562347188264
7,0.07118131351241423,0.9765342960288809,0.7976436064793513,0.7788461538461539,0.7843137254901961,0.7692307692307693,0.7766990291262136
