epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1
1,0.0003,0.628896809419952,0.6331930246542393,0.5116094219397349,0.7759036144578313,0.7699530516431925,0.7884615384615384,0.7790973871733967
2,0.0003,0.45416412081836005,0.7961515333734215,0.46446385340518265,0.7975903614457831,0.8131313131313131,0.7740384615384616,0.7931034482758621
3,0.0003,0.3382742070356049,0.862297053517739,0.49187743735600664,0.7855421686746988,0.8287292817679558,0.7211538461538461,0.7712082262210797
4,0.0003,0.24320261217138528,0.9049909801563439,0.5163955407688416,0.7686746987951807,0.7641509433962265,0.7788461538461539,0.7714285714285715
5,0.00015,0.1493806386488572,0.952495490078172,0.5307750367974661,0.7734939759036145,0.8064516129032258,0.7211538461538461,0.7614213197969543
6,0.00015,0.10785862771201693,0.9693325315694528,0.5757501801094377,0.7759036144578313,0.7777777777777778,0.7740384615384616,0.7759036144578313
